tail_number,model,manufacture_year,last_maintenance,total_flight_hours
N832DN,Boeing 737-800,1998,1/15/2023,68000
N123DA,Airbus A321,2019,5/20/2024,12000
N999DN,Boeing 757-200,2001,11/1/2023,59000
N777DL,Boeing 777-200,2015,2/28/2024,31000
N333DA,Airbus A330,2018,1/10/2024,16000
N555DL,Boeing 737-900,2010,8/15/2023,36000
N111DL,Airbus A220,2022,6/1/2024,4500
N222DL,Boeing 767-300,1995,12/30/2022,76000
N444DL,Airbus A319,2003,5/20/2023,46000
N666DN,Boeing 717,1999,3/10/2023,61000
N888DA,Airbus A350,2021,4/12/2024,8000
N901DL,Boeing 737-800,2014,1/20/2024,28000
N902DL,Boeing 737-800,2013,11/15/2023,30000
N903DL,Airbus A320,2008,9/1/2023,41000
N904DL,Airbus A320,2009,10/5/2023,39000
N905DL,Boeing 757-300,2002,7/20/2023,55000
N906DL,Boeing 767-400,2000,5/15/2023,62000
N907DL,Boeing 777-200LR,2008,12/1/2023,45000
N908DL,Airbus A330-900,2020,2/10/2024,9000
N909DL,Airbus A220-300,2023,7/1/2024,2000
N910DL,Boeing 737-900ER,2016,3/15/2024,22000
N911DL,Boeing 737-900ER,2017,4/1/2024,19000
N912DL,Airbus A321neo,2022,5/10/2024,5000
N913DL,Airbus A321neo,2023,6/20/2024,3000
N914DL,Boeing 757-200,1997,2/10/2023,71000
