flight_id,origin,destination,tail_number,scheduled_dep,scheduled_arr,lat_dest,lon_dest
DL100,ATL,LHR,N832DN,18:00,06:00,51.47,-0.45
DL101,JFK,LAX,N123DA,08:00,11:00,33.94,-118.4
DL102,LGA,MIA,N999DN,14:00,17:00,25.76,-80.19
DL103,DTW,CDG,N777DL,20:00,09:00,49.0,2.55
DL104,MSP,SEA,N333DA,07:00,09:00,47.45,-122.3
DL105,ATL,JFK,N555DL,09:00,11:15,40.64,-73.78
DL106,SEA,NRT,N888DA,11:00,14:00,35.77,140.39
DL107,LAX,SYD,N908DL,22:30,06:15,-33.93,151.17
DL108,JFK,LHR,N222DL,18:30,06:30,51.47,-0.45
DL109,ATL,MIA,N111DL,10:00,11:45,25.76,-80.19
DL110,SLC,DEN,N444DL,08:15,09:30,39.85,-104.67
DL111,DEN,ATL,N901DL,10:30,15:00,33.64,-84.42
DL112,MCO,LGA,N902DL,13:00,15:30,40.77,-73.87
DL113,BOS,DTW,N903DL,16:00,18:00,42.21,-83.35
DL114,DTW,AMS,N907DL,19:00,08:30,52.31,4.76
DL115,AMS,JFK,N907DL,10:00,12:30,40.64,-73.78
DL116,CDG,ATL,N777DL,11:00,15:30,33.64,-84.42
DL117,LHR,JFK,N832DN,10:00,13:00,40.64,-73.78
DL118,LAX,HND,N888DA,09:00,13:00,35.54,139.77
DL119,SFO,JFK,N123DA,07:00,15:30,40.64,-73.78
DL120,JFK,SFO,N123DA,17:00,20:30,37.62,-122.37
DL121,ATL,MCO,N666DN,12:00,13:30,28.43,-81.3
DL122,MCO,ATL,N666DN,14:30,16:00,33.64,-84.42
DL123,SEA,ANC,N904DL,15:00,17:30,61.17,-149.99
DL124,ANC,SEA,N904DL,19:00,23:30,47.45,-122.3
DL125,MSP,ORD,N909DL,08:00,09:15,41.97,-87.9
DL126,ORD,LGA,N909DL,10:30,13:30,40.77,-73.87
DL127,LGA,ORD,N912DL,14:30,16:00,41.97,-87.9
DL128,ORD,MSP,N912DL,17:30,18:45,44.88,-93.22
DL129,ATL,EZE,N906DL,20:00,07:00,-34.81,-58.53
DL130,EZE,ATL,N906DL,21:00,06:00,33.64,-84.42
DL131,JFK,MAD,N222DL,19:00,08:00,40.49,-3.56
DL132,MAD,JFK,N222DL,11:00,13:30,40.64,-73.78
DL133,DTW,PVG,N888DA,15:00,18:00,31.14,121.8
DL134,PVG,DTW,N888DA,12:00,14:00,42.21,-83.35
DL135,SEA,ICN,N908DL,11:30,15:00,37.46,126.44
DL136,ICN,SEA,N908DL,17:00,11:30,47.45,-122.3
DL137,LAX,OGG,N905DL,08:00,11:00,20.89,-156.43
DL138,OGG,LAX,N905DL,13:00,21:00,33.94,-118.4
DL139,ATL,GRU,N333DA,21:00,07:30,-23.43,-46.47
DL140,GRU,ATL,N333DA,22:00,06:30,33.64,-84.42
DL141,JFK,FCO,N906DL,18:00,08:30,41.8,12.24
DL142,FCO,JFK,N906DL,11:00,14:30,40.64,-73.78
DL143,BOS,DUB,N914DL,20:00,07:30,53.42,-6.27
DL144,DUB,BOS,N914DL,10:00,12:00,42.36,-71.0
DL145,SLC,SFO,N910DL,09:00,10:00,37.62,-122.37
DL146,SFO,SLC,N910DL,11:30,14:15,40.78,-111.97
DL147,ATL,LAS,N911DL,16:00,17:45,36.08,-115.15
DL148,LAS,ATL,N911DL,23:00,06:00,33.64,-84.42
DL149,MIA,JFK,N913DL,07:00,09:45,40.64,-73.78
DL150,JFK,MIA,N913DL,11:00,14:00,25.76,-80.19
DL151,MSP,PHX,N444DL,08:30,10:45,33.43,-112.0
DL152,PHX,MSP,N444DL,12:00,16:15,44.88,-93.22
DL153,DTW,FLL,N555DL,07:30,10:30,26.07,-80.15
DL154,FLL,DTW,N555DL,11:30,14:30,42.21,-83.35
DL155,ATL,TPA,N111DL,13:00,14:15,27.97,-82.53
DL156,TPA,ATL,N111DL,15:30,17:00,33.64,-84.42
DL157,LGA,BOS,N111DL,19:00,20:00,42.36,-71.0
DL158,BOS,LGA,N111DL,06:00,07:00,40.77,-73.87
DL159,JFK,MXP,N333DA,18:30,08:30,45.63,8.72
DL160,MXP,JFK,N333DA,11:00,14:00,40.64,-73.78
DL161,ATL,CDG,N777DL,17:30,08:00,49.0,2.55
DL162,LAX,LHR,N832DN,16:00,10:30,51.47,-0.45
DL163,SEA,AMS,N908DL,13:30,08:30,52.31,4.76
DL164,AMS,SEA,N908DL,10:30,12:00,47.45,-122.3
DL165,DTW,FRA,N333DA,18:00,08:30,50.03,8.57
DL166,FRA,DTW,N333DA,10:30,13:30,42.21,-83.35
DL167,JFK,TLV,N888DA,23:00,16:00,32.0,34.88
DL168,TLV,JFK,N888DA,23:30,05:30,40.64,-73.78
DL169,ATL,JNB,N888DA,19:00,16:30,-26.13,28.24
DL170,JNB,ATL,N888DA,20:00,06:00,33.64,-84.42
DL171,LAX,AKL,N908DL,22:00,07:00,-37.0,174.78
DL172,AKL,LAX,N908DL,15:00,07:00,33.94,-118.4
DL173,MSP,CUN,N905DL,09:00,13:30,21.03,-86.87
DL174,CUN,MSP,N905DL,15:00,19:30,44.88,-93.22
DL175,ATL,SJU,N901DL,10:00,13:30,18.43,-66.0
DL176,SJU,ATL,N901DL,15:00,18:45,33.64,-84.42
DL177,JFK,STT,N902DL,08:00,12:00,18.33,-64.97
DL178,STT,JFK,N902DL,13:30,17:45,40.64,-73.78
DL179,LAX,HNL,N903DL,09:00,12:00,21.31,-157.92
DL180,HNL,LAX,N903DL,14:00,22:30,33.94,-118.4
DL181,SEA,HNL,N904DL,08:30,11:45,21.31,-157.92
DL182,HNL,SEA,N904DL,13:30,22:00,47.45,-122.3
DL183,SLC,LAX,N910DL,07:00,08:00,33.94,-118.4
DL184,LAX,SLC,N910DL,09:30,12:15,40.78,-111.97
DL185,DTW,YYZ,N911DL,10:00,11:00,43.67,-79.62
DL186,YYZ,DTW,N911DL,12:30,13:30,42.21,-83.35
DL187,MSP,YVR,N912DL,18:00,20:30,49.19,-123.18
DL188,YVR,MSP,N912DL,07:00,12:30,44.88,-93.22
DL189,ATL,BOG,N914DL,17:00,21:30,4.7,-74.14
DL190,BOG,ATL,N914DL,23:00,05:30,33.64,-84.42
DL191,JFK,GRU,N222DL,22:00,09:00,-23.43,-46.47
DL192,GRU,JFK,N222DL,21:00,06:00,40.64,-73.78
DL193,LAX,MEX,N444DL,10:00,15:30,19.43,-99.07
DL194,MEX,LAX,N444DL,17:00,20:30,33.94,-118.4
DL195,ATL,GUA,N111DL,11:00,13:30,14.58,-90.52
DL196,GUA,ATL,N111DL,15:00,19:45,33.64,-84.42
DL197,MIA,HAV,N913DL,12:00,13:00,22.99,-82.4
DL198,HAV,MIA,N913DL,15:00,16:00,25.76,-80.19
DL199,ATL,LIM,N666DN,16:00,22:30,-12.02,-77.11
DL200,LIM,ATL,N666DN,23:55,07:00,33.64,-84.42
